year_code,element_name,item_name,total_value
2003,Yield,"Almonds, in shell",35325
2003,Yield,Apples,253215
2003,Yield,Apricots,132242
2003,Yield,Artichokes,157113
2003,Yield,Asparagus,35616
2003,Yield,Avocados,78207
2003,Yield,Bananas,187747
2003,Yield,Barley,31673
2003,Yield,"Beans, dry",18717
2003,Yield,Blueberries,50511
2003,Yield,Buckwheat,10068
2003,Yield,Cabbages,237126
2003,Yield,Cantaloupes and other melons,280756
2003,Yield,Carrots and turnips,408618
2003,Yield,Cauliflowers and broccoli,170924
2003,Yield,Cherries,54648
2003,Yield,"Chick peas, dry",11290
2003,Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",278314
2003,Yield,"Coffee, green",15732
2003,Yield,"Cow peas, dry",17518
2003,Yield,Cranberries,176629
2003,Yield,Cucumbers and gherkins,153042
2003,Yield,Dates,77182
2003,Yield,Eggplants (aubergines),311848
2003,Yield,Figs,83630
2003,Yield,"Ginger, raw",418769
2003,Yield,Grapes,152971
2003,Yield,Green corn (maize),168153
2003,Yield,Green garlic,199922
2003,Yield,"Groundnuts, excluding shelled",35404
2003,Yield,"Hazelnuts, in shell",30342
2003,Yield,"Hen eggs in shell, fresh",153339
2003,Yield,Hop cones,21333
2003,Yield/Carcass Weight,"Horse meat, fresh or chilled",2500
2003,Yield,Kiwi fruit,119561
2003,Yield,Lemons and limes,372160
2003,Yield,"Lentils, dry",11549
2003,Yield,Lettuce and chicory,366719
2003,Yield,Linseed,11225
2003,Yield,Maize (corn),89246
2003,Yield,"Mangoes, guavas and mangosteens",43333
2003,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",3362
2003,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",17368
2003,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",22213
2003,Yield/Carcass Weight,"Meat of goat, fresh or chilled",147
2003,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",896
2003,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",302
2003,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",95711
2003,Yield,Millet,10350
2003,Yield,Mustard seed,8105
2003,Yield,Oats,23327
2003,Yield,Okra,71163
2003,Yield,Olives,73473
2003,Yield,"Onions and shallots, dry (excluding dehydrated)",495115
2003,Yield,Oranges,326896
2003,Yield,"Other beans, green",58921
2003,Yield,Other berries and fruits of the genus vaccinium n.e.c.,70523
2003,Yield,"Other citrus fruit, n.e.c.",350000
2003,Yield,"Other fruits, n.e.c.",144112
2003,Yield,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",26215
2003,Yield,"Other vegetables, fresh n.e.c.",784830
2003,Yield,Papayas,305261
2003,Yield,Peaches and nectarines,182040
2003,Yield,Pears,324456
2003,Yield,"Peas, dry",17749
2003,Yield,"Peas, green",112919
2003,Yield,Pineapples,420318
2003,Yield,"Pistachios, in shell",15159
2003,Yield,Plums and sloes,157885
2003,Yield,Pomelos and grapefruits,359894
2003,Yield,Potatoes,410985
2003,Yield,"Pumpkins, squash and gourds",196096
2003,Yield,Rape or colza seed,15865
2003,Yield,Raspberries,100212
2003,Yield,Raw hides and skins of cattle,307
2003,Yield,Raw hides and skins of goats or kids,28
2003,Yield,Raw hides and skins of sheep or lambs,32
2003,Yield,Raw milk of cattle,85088
2003,Yield,Raw milk of goats,996
2003,Yield,Rice,74759
2003,Yield,Rye,16988
2003,Yield,Safflower seed,14458
2003,Yield,"Seed cotton, unginned",20628
2003,Yield,Sorghum,33099
2003,Yield,Sour cherries,68640
2003,Yield,Soya beans,22769
2003,Yield,Spinach,180750
2003,Yield,Strawberries,499283
2003,Yield,String beans,86360
2003,Yield,Sugar beet,563031
2003,Yield,Sugar cane,843132
2003,Yield,Sunflower seed,13597
2003,Yield,Sweet potatoes,192348
2003,Yield,"Tangerines, mandarins, clementines",233962
2003,Yield,Taro,133529
2003,Yield,Tomatoes,682474
2003,Yield,Unmanufactured tobacco,21879
2003,Yield,"Walnuts, in shell",34309
2003,Yield,Watermelons,286557
2003,Yield,Wheat,29712
2004,Yield,"Almonds, in shell",34074
2004,Yield,Apples,305621
2004,Yield,Apricots,152752
2004,Yield,Artichokes,123092
2004,Yield,Asparagus,37581
2004,Yield,Avocados,58564
2004,Yield,Bananas,185926
2004,Yield,Barley,37429
2004,Yield,"Beans, dry",16404
2004,Yield,Blueberries,57218
2004,Yield,"Broad beans and horse beans, green",55504
2004,Yield,Buckwheat,10079
2004,Yield,Cabbages,370543
2004,Yield,Cantaloupes and other melons,279022
2004,Yield,Carrots and turnips,412288
2004,Yield,Cauliflowers and broccoli,172052
2004,Yield,Cherries,81076
2004,Yield,"Chick peas, dry",15314
2004,Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",291076
2004,Yield,"Coffee, green",10822
2004,Yield,"Cow peas, dry",17544
2004,Yield,Cranberries,177465
2004,Yield,Cucumbers and gherkins,152224
2004,Yield,Dates,70099
2004,Yield,Eggplants (aubergines),323372
2004,Yield,Figs,89492
2004,Yield,"Ginger, raw",446230
2004,Yield,Grapes,149911
2004,Yield,Green corn (maize),162157
2004,Yield,Green garlic,185270
2004,Yield,"Groundnuts, excluding shelled",34479
2004,Yield,"Hazelnuts, in shell",29600
2004,Yield,"Hen eggs in shell, fresh",154556
2004,Yield,Hop cones,22303
2004,Yield/Carcass Weight,"Horse meat, fresh or chilled",2501
2004,Yield,Kiwi fruit,133015
2004,Yield,Lemons and limes,299146
2004,Yield,"Lentils, dry",14247
2004,Yield,Lettuce and chicory,377442
2004,Yield,Linseed,12735
2004,Yield,Maize (corn),100637
2004,Yield,"Mangoes, guavas and mangosteens",43077
2004,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",3539
2004,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",17626
2004,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",22365
2004,Yield/Carcass Weight,"Meat of goat, fresh or chilled",0
2004,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",899
2004,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",304
2004,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",97279
2004,Yield,Millet,14190
2004,Yield,Mustard seed,9184
2004,Yield,Oats,23221
2004,Yield,Okra,72978
2004,Yield,Olives,75248
2004,Yield,"Onions and shallots, dry (excluding dehydrated)",550438
2004,Yield,Oranges,378130
2004,Yield,"Other beans, green",57696
2004,Yield,Other berries and fruits of the genus vaccinium n.e.c.,82281
2004,Yield,"Other citrus fruit, n.e.c.",414967
2004,Yield,"Other fruits, n.e.c.",184109
2004,Yield,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",25871
2004,Yield,"Other vegetables, fresh n.e.c.",782529
2004,Yield,Papayas,324780
2004,Yield,Peaches and nectarines,193905
2004,Yield,Pears,311739
2004,Yield,"Peas, dry",25204
2004,Yield,"Peas, green",107688
2004,Yield,Pineapples,379359
2004,Yield,"Pistachios, in shell",41821
2004,Yield,Plums and sloes,67360
2004,Yield,Pomelos and grapefruits,422759
2004,Yield,Potatoes,438152
2004,Yield,"Pumpkins, squash and gourds",206067
2004,Yield,Rape or colza seed,18109
2004,Yield,Raspberries,110338
2004,Yield,Raw hides and skins of cattle,323
2004,Yield,Raw hides and skins of goats or kids,0
2004,Yield,Raw hides and skins of sheep or lambs,32
2004,Yield,Raw milk of cattle,86002
2004,Yield,Raw milk of goats,992
2004,Yield,Rice,78328
2004,Yield,Rye,17271
2004,Yield,Safflower seed,13490
2004,Yield,"Seed cotton, unginned",23731
2004,Yield,Sorghum,43688
2004,Yield,Sour cherries,64612
2004,Yield,Soya beans,28405
2004,Yield,Spinach,197331
2004,Yield,Strawberries,482747
2004,Yield,String beans,92457
2004,Yield,Sugar beet,567709
2004,Yield,Sugar cane,764143
2004,Yield,Sunflower seed,13427
2004,Yield,Sweet potatoes,194603
2004,Yield,"Tangerines, mandarins, clementines",258223
2004,Yield,Taro,157333
2004,Yield,Tomatoes,805650
2004,Yield,Unmanufactured tobacco,24224
2004,Yield,"Walnuts, in shell",34044
2004,Yield,Watermelons,291756
2004,Yield,Wheat,29026
2005,Yield,"Almonds, in shell",29969
2005,Yield,Apples,293587
2005,Yield,Apricots,131308
2005,Yield,Artichokes,123188
2005,Yield,Asparagus,34876
